placement,local_bsz,step_time,sync_time
1,32,0.0427886962890625,0.0004995360016822817
1,45,0.05048525333404541,0.0005040224045515059
1,64,0.05983335971832275,0.0005080448031425476
1,91,0.07591350078582762,0.0005244320034980774
1,129,0.10385050773620604,0.0005253599941730499
1,182,0.13722496032714845,0.0005333151996135711
1,257,0.18708271980285648,0.0005324799835681917
1,363,0.2595393657684326,0.0005360671997070314
1,513,0.3553631782531738,0.0005348415970802306
1,725,0.4961158037185669,0.0005435007929801941
1,1024,0.7020925283432007,0.0005468864023685456
11,32,0.1038327932357788,0.0617830852508545
11,45,0.1080667495727539,0.05788738288879395
11,64,0.11127357482910157,0.05158557434082032
11,91,0.11819097995758054,0.04412396507263183
11,129,0.1327885866165161,0.027193449592590332
11,182,0.15558092594146727,0.018212214469909664
11,257,0.19933269023895264,0.002585142397880555
11,363,0.2690117835998535,0.003285737633705139
11,513,0.3760718107223511,0.003317769575119019
11,725,0.5118870496749878,0.003292876887321472
11,1024,0.7219824790954591,0.0039862239837646475
111,32,0.10035741329193117,0.05806953277587891
111,45,0.10552570819854737,0.056397475051879885
111,64,0.09580729007720948,0.037365980911254884
111,91,0.106483793258667,0.03184715518951416
111,129,0.12430698871612547,0.01929815053939819
111,182,0.14420089721679688,0.006625676822662354
111,257,0.19851412773132324,0.0031279039859771736
111,363,0.26839818954467776,0.003371875190734863
111,513,0.37303833961486815,0.010195020818710326
111,725,0.5248216152191162,0.0032942656278610225
111,1024,0.7382499456405641,0.004118364787101746
1111,32,0.1268904447555542,0.0852531005859375
1111,45,0.1310215950012207,0.08232029495239257
1111,64,0.14134659767150878,0.08306680679321289
1111,91,0.14538123607635495,0.07103141708374024
1111,129,0.15143196582794188,0.04378535346984864
1111,182,0.1741780996322632,0.030094947433471683
1111,257,0.2093052387237549,0.009414675092697142
1111,363,0.28039498329162604,0.005664716792106629
1111,513,0.3914859533309937,0.0054452127933502185
1111,725,0.5474929094314576,0.007495190453529356
1111,1024,0.7817227602005005,0.029129478740692136
1112,32,0.12809860706329346,0.08627507858276368
1112,45,0.12564389705657958,0.07679504852294923
1112,64,0.13122639656066895,0.07317338790893554
1112,91,0.1352771997451782,0.06244710426330567
1112,129,0.14904797077178955,0.04772434883117676
1112,182,0.17010824680328368,0.0344289758682251
1112,257,0.2183633804321289,0.03231929531097412
1112,363,0.2755973100662231,0.022606604766845697
1112,513,0.3808739185333252,0.02548027191162109
1112,725,0.5350161552429199,0.051378150177001945
1112,1024,0.7546370327472687,0.0754048252105713
1113,32,0.1335212469100952,0.0915583267211914
1113,45,0.13582820892333985,0.08643678665161134
1113,64,0.13992538452148434,0.08121439971923827
1113,91,0.1468961238861084,0.07260096435546874
1113,129,0.1607818841934204,0.053973622894287115
1113,182,0.1812705993652344,0.04175011520385742
1113,257,0.22012724876403808,0.02268556499481201
1113,363,0.2833434104919433,0.012301263904571532
1113,513,0.3968006372451782,0.018472921752929687
1113,725,0.553446364402771,0.03248237724304199
1113,1024,0.7733854566301618,0.03165215492248535
1114,32,0.11264214515686034,0.07058504142761231
1114,45,0.10906562805175783,0.05934750747680665
1114,64,0.13648972511291504,0.07700279045104981
1114,91,0.15125102996826173,0.07562653770446777
1114,129,0.16952137947082518,0.06236756477355958
1114,182,0.19025135040283206,0.04844352378845215
1114,257,0.21498584747314453,0.011010860872268676
1114,363,0.2851694822311401,0.0038338239908218383
1114,513,0.4074337959289551,0.013077382278442384
1114,725,0.5770465433597565,0.02312679982185364
1114,1024,0.8140213489532471,0.037837055206298834
112,32,0.14785358905792234,0.10531877822875976
112,45,0.15026555061340333,0.10053919906616213
112,64,0.12597379684448246,0.06773929214477539
112,91,0.1317533016204834,0.058091318130493175
112,129,0.14861228466033935,0.04445486373901367
112,182,0.16505959033966064,0.03036898899078368
112,257,0.20386240482330326,0.010703785657882691
112,363,0.2721391677856445,0.010713299179077148
112,513,0.37249464988708497,0.014854406452178956
112,725,0.5239486217498779,0.024609702873229986
112,1024,0.7385337591171265,0.03704102687835693
1122,32,0.12722485065460204,0.08535923690795899
1122,45,0.12468311786651612,0.07545792350769043
1122,64,0.11217284202575684,0.0533929443359375
1122,91,0.12760553359985352,0.05295520935058594
1122,129,0.13758904933929444,0.030093270492553708
1122,182,0.1900515079498291,0.048134134674072265
1122,257,0.20773305892944333,0.008994719934463501
1122,363,0.27944777011871336,0.00458208634853363
1122,513,0.3918741941452025,0.004264006400108339
1122,725,0.5679852724075317,0.025060236501693728
1122,1024,0.7652460847582135,0.00811375079836164
1123,32,0.1730783224105835,0.1313344055175781
1123,45,0.1467132329940796,0.0975987548828125
1123,64,0.13804235458374026,0.07961330795288088
1123,91,0.16930265426635746,0.09577504196166993
1123,129,0.17386527061462406,0.06973155479431152
1123,182,0.1917177200317383,0.05362207984924317
1123,257,0.22463414669036866,0.025849849510192875
1123,363,0.2879369735717773,0.022488188838958745
1123,513,0.4060851573944092,0.03350576648712158
1123,725,0.5702296197414398,0.05842576837539674
1123,1024,0.79263916015625,0.0663876480102539
1124,32,0.12710418701171874,0.08485129318237304
1124,45,0.11930203437805174,0.06969179458618162
1124,64,0.1197561264038086,0.06066639633178712
1124,91,0.1666231632232666,0.09186167373657228
1124,129,0.15922281742095948,0.05458933715820312
1124,182,0.17653498649597169,0.035021148872375486
1124,257,0.23148393630981445,0.02834441595077515
1124,363,0.2954387664794922,0.02355506610870361
1124,513,0.41588554382324217,0.036156060791015625
1124,725,0.5908988884517125,0.05604133932931082
1124,1024,0.8355612754821777,0.08953805541992188
113,32,0.12445669174194335,0.08126728134155273
113,45,0.12673187255859375,0.07671303176879883
113,64,0.1159501314163208,0.05630979766845703
113,91,0.1151123046875,0.03893011856079102
113,129,0.13293149471282958,0.02510984325408936
113,182,0.1615060329437256,0.014996115303039553
113,257,0.21848738193511966,0.018050601482391355
113,363,0.3174301385879517,0.03714139232635498
113,513,0.41784820556640623,0.02185963544845581
113,725,0.5852953433990479,0.027902335929870608
113,1024,0.8162023425102234,0.028941148042678833
1132,32,0.14902870655059813,0.10693296966552734
1132,45,0.1325981378555298,0.08181187210083007
1132,64,0.1539220094680786,0.09415813522338867
1132,91,0.14585583209991454,0.06846909713745117
1132,129,0.1952455997467041,0.08338444595336914
1132,182,0.20239105224609372,0.05246802558898926
1132,257,0.2443399429321289,0.035460713577270514
1132,363,0.3062494516372681,0.010968336009979249
1132,513,0.4219524621963501,0.006321193599700928
1132,725,0.597622275352478,0.007228028059005739
1132,1024,0.8262689113616943,0.008522790241241454
1133,32,0.1458359718322754,0.10344090270996094
1133,45,0.1450584888458252,0.0952214324951172
1133,64,0.14876060485839845,0.08884895935058594
1133,91,0.15233032703399654,0.07522470397949219
1133,129,0.16762266159057618,0.05704709434509276
1133,182,0.19428448677062987,0.043321609878540036
1133,257,0.23340418338775634,0.017512057590484617
1133,363,0.3085877180099487,0.01464106578826904
1133,513,0.4263656854629517,0.004631145572662354
1133,725,0.5973495415278843,0.004689398969922746
1133,1024,0.829362440109253,0.010402489662170413
1134,32,0.16956539154052735,0.12703484649658206
1134,45,0.13364381790161134,0.0846704833984375
1134,64,0.14736294746398926,0.08896121520996095
1134,91,0.15312283039093014,0.07942268600463867
1134,129,0.16433603763580326,0.060196879577636725
1134,182,0.1896815299987793,0.0530377628326416
1134,257,0.23042142391204834,0.03848554191589355
1134,363,0.30284342765808103,0.042042198562622084
1134,513,0.4212890201144748,0.062110723283555776
1134,725,0.6031432549158732,0.10051129659016927
1134,1024,0.8499400019645691,0.13113795280456542
114,32,0.12523512840270995,0.08296076812744141
114,45,0.13771576881408693,0.08808476486206054
114,64,0.14213366508483888,0.0827077606201172
114,91,0.14262161254882813,0.06795337219238283
114,129,0.15469837188720706,0.04941846656799316
114,182,0.1766505002975464,0.03659836750030517
114,257,0.217042088508606,0.020606163406372075
114,363,0.2927565097808838,0.01994493455886841
114,513,0.4182372093200684,0.03705307865142822
114,725,0.5948980808258056,0.059821417617797835
114,1024,0.8201318468366351,0.07008026994977679
1142,32,0.14383928775787352,0.10204935302734376
1142,45,0.14584815502166748,0.09709194488525393
1142,64,0.15334455966949462,0.09444935607910156
1142,91,0.15461738109588624,0.07962801666259765
1142,129,0.16615877151489258,0.06041315231323241
1142,182,0.1935945749282837,0.05483190116882325
1142,257,0.2260394334793091,0.02813830108642578
1142,363,0.2919590950012207,0.020869558715820316
1142,513,0.4100141763687134,0.02901573467254638
1142,725,0.5718855857849121,0.03498833356584821
1142,1024,0.8090288639068604,0.06402879486083984
1143,32,0.16365530490875246,0.12078087463378905
